title,city,locality,bhk,areaSqft,floor,totalFloors,ageYears,furnishedStatus,facing,propertyType,listingType,price,verified,hot,sellerName,sellerPhone
"Luxurious 4BHK Apartment in Mayur Vihar","Delhi","Mayur Vihar","4","1629","","2","23","Furnished","West","Apartment","Rent","85617","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Builder Floor in Preet Vihar","Delhi","Preet Vihar","4","1555","18","27","21","Furnished","South","Builder Floor","Rent","92686","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Apartment in Vasant Kunj","Delhi","Vasant Kunj","4","2028","7","17","23","Semi-Furnished","North","Apartment","Rent","120442","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Studio in Greater Kailash","Delhi","Greater Kailash","2","893","3","4","22","Semi-Furnished","East","Studio","Buy","14996622","","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Apartment in Preet Vihar","Delhi","Preet Vihar","4","1510","10","25","21","Furnished","South-West","Apartment","Rent","82702","","true","Amit Patel","+91-9654321098"
"Spacious 3BHK Independent House in Vasant Kunj","Delhi","Vasant Kunj","3","1698","14","15","15","Semi-Furnished","South","Independent House","Buy","27736750","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Villa in Defence Colony","Delhi","Defence Colony","1","1050","6","15","18","Furnished","North-East","Villa","Buy","22626180","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Apartment in Preet Vihar","Delhi","Preet Vihar","3","1721","19","22","2","Furnished","West","Apartment","Rent","70486","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Builder Floor in Vasant Kunj","Delhi","Vasant Kunj","2","1160","6","12","13","Unfurnished","North","Builder Floor","Buy","18249849","","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Studio in Vasant Kunj","Delhi","Vasant Kunj","4","1843","7","17","3","Semi-Furnished","North-East","Studio","Rent","111294","","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Villa in Pitampura","Delhi","Pitampura","3","1690","18","27","8","Unfurnished","East","Villa","Buy","19450254","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Apartment in South Extension","Delhi","South Extension","3","1454","12","27","13","Unfurnished","South-East","Apartment","Buy","24235708","true","true","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Studio in Shahdara","Delhi","Shahdara","4","2118","15","27","21","Semi-Furnished","South-East","Studio","Rent","65554","true","true","Sunita Verma","+91-9543210987"
"Spacious 3BHK Builder Floor in Mayur Vihar","Delhi","Mayur Vihar","3","1316","","12","17","Unfurnished","East","Builder Floor","Buy","12708588","","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Builder Floor in Saket","Delhi","Saket","4","1894","8","20","7","Unfurnished","West","Builder Floor","Buy","30356666","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Studio in Vasant Kunj","Delhi","Vasant Kunj","3","1070","7","13","22","Semi-Furnished","North-East","Studio","Rent","78193","true","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Villa in Vasant Kunj","Delhi","Vasant Kunj","1","841","8","17","16","Unfurnished","West","Villa","Buy","12481100","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Villa in Uttam Nagar","Delhi","Uttam Nagar","3","1152","18","30","6","Furnished","North-East","Villa","Buy","11457180","","","Amit Patel","+91-9654321098"
"Spacious 3BHK Builder Floor in Shahdara","Delhi","Shahdara","3","1130","8","16","2","Furnished","North-West","Builder Floor","Buy","13935466","","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Apartment in Lajpat Nagar","Delhi","Lajpat Nagar","4","1285","14","24","3","Furnished","North-East","Apartment","Buy","21863773","","true","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Villa in Janakpuri","Delhi","Janakpuri","2","1140","3","18","12","Furnished","West","Villa","Rent","44140","","","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Builder Floor in Janakpuri","Delhi","Janakpuri","5","1717","3","12","4","Semi-Furnished","North","Builder Floor","Buy","22385959","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Independent House in Pitampura","Delhi","Pitampura","3","1076","11","26","22","Furnished","North","Independent House","Rent","63388","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Villa in Mayur Vihar","Delhi","Mayur Vihar","4","1607","6","14","22","Furnished","North-West","Villa","Buy","18956778","","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Builder Floor in Saket","Delhi","Saket","1","663","12","25","16","Unfurnished","North-East","Builder Floor","Rent","25963","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Builder Floor in Greater Kailash","Delhi","Greater Kailash","2","947","19","19","10","Unfurnished","North","Builder Floor","Buy","19681458","","true","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Builder Floor in South Extension","Delhi","South Extension","4","1508","9","23","19","Unfurnished","East","Builder Floor","Buy","23631983","true","true","Amit Patel","+91-9654321098"
"Spacious 3BHK Apartment in Defence Colony","Delhi","Defence Colony","3","1470","16","24","9","Unfurnished","North-West","Apartment","Rent","109819","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Villa in Preet Vihar","Delhi","Preet Vihar","2","711","7","14","2","Furnished","West","Villa","Rent","42262","","true","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Independent House in Saket","Delhi","Saket","1","981","4","6","10","Furnished","North","Independent House","Rent","28975","","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Apartment in Defence Colony","Delhi","Defence Colony","1","1132","20","24","7","Semi-Furnished","North","Apartment","Buy","26465930","","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Studio in Mayur Vihar","Delhi","Mayur Vihar","4","1782","3","15","13","Unfurnished","North-West","Studio","Buy","19213056","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Villa in Preet Vihar","Delhi","Preet Vihar","2","938","3","14","6","Furnished","South","Villa","Buy","13168109","","","Priya Singh","+91-9765432109"
"Spacious 2BHK Independent House in Shahdara","Delhi","Shahdara","2","953","3","10","13","Semi-Furnished","South","Independent House","Buy","9361591","true","true","Sunita Verma","+91-9543210987"
"Cozy 1BHK Villa in Mayur Vihar","Delhi","Mayur Vihar","1","1055","15","26","5","Semi-Furnished","West","Villa","Buy","14026257","true","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Apartment in Paschim Vihar","Delhi","Paschim Vihar","4","1691","1","8","21","Furnished","South-East","Apartment","Rent","81032","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Apartment in Mayur Vihar","Delhi","Mayur Vihar","4","1092","","15","20","Furnished","East","Apartment","Buy","11132224","","","Amit Patel","+91-9654321098"
"Spacious 3BHK Villa in Mayur Vihar","Delhi","Mayur Vihar","3","1310","10","10","3","Unfurnished","North","Villa","Buy","16433425","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Apartment in Mayur Vihar","Delhi","Mayur Vihar","3","1285","9","17","19","Semi-Furnished","East","Apartment","Buy","14060980","","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Builder Floor in Uttam Nagar","Delhi","Uttam Nagar","2","1469","2","15","","Unfurnished","South-East","Builder Floor","Rent","30799","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Apartment in Mayur Vihar","Delhi","Mayur Vihar","3","1200","13","25","10","Semi-Furnished","North","Apartment","Rent","68727","","","Amit Patel","+91-9654321098"
"Spacious 3BHK Villa in Saket","Delhi","Saket","3","1694","14","14","8","Furnished","South-West","Villa","Rent","95903","","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Apartment in Saket","Delhi","Saket","3","1729","18","29","14","Semi-Furnished","South-East","Apartment","Rent","86496","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Builder Floor in Uttam Nagar","Delhi","Uttam Nagar","3","929","","13","14","Furnished","North-East","Builder Floor","Rent","51364","true","true","Amit Patel","+91-9654321098"
"Spacious 2BHK Studio in Pitampura","Delhi","Pitampura","2","895","8","14","9","Semi-Furnished","North-East","Studio","Rent","38676","","true","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Apartment in Preet Vihar","Delhi","Preet Vihar","1","1078","11","16","10","Semi-Furnished","South-West","Apartment","Buy","12632863","true","","Sunita Verma","+91-9543210987"
"Luxurious 5BHK Builder Floor in Defence Colony","Delhi","Defence Colony","5","1996","12","12","8","Unfurnished","West","Builder Floor","Buy","42576413","true","true","Amit Patel","+91-9654321098"
"Spacious 3BHK Apartment in Lajpat Nagar","Delhi","Lajpat Nagar","3","960","1","12","25","Unfurnished","North-West","Apartment","Rent","75640","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Apartment in Greater Kailash","Delhi","Greater Kailash","5","1298","20","24","21","Unfurnished","South-West","Apartment","Buy","21247390","true","true","Amit Patel","+91-9654321098"
"Spacious 3BHK Builder Floor in Uttam Nagar","Delhi","Uttam Nagar","3","1847","5","17","23","Furnished","South-East","Builder Floor","Buy","15546656","","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Independent House in Saket","Delhi","Saket","1","628","","","20","Furnished","East","Independent House","Buy","8729586","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Villa in Janakpuri","Delhi","Janakpuri","3","1155","6","8","22","Semi-Furnished","North-East","Villa","Buy","11390205","true","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Apartment in Defence Colony","Delhi","Defence Colony","4","2139","9","10","17","Unfurnished","North-West","Apartment","Buy","36945794","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Independent House in Greater Kailash","Delhi","Greater Kailash","2","1347","17","19","12","Furnished","South","Independent House","Rent","80635","","","Priya Singh","+91-9765432109"
"Spacious 2BHK Independent House in Paschim Vihar","Delhi","Paschim Vihar","2","1247","12","26","13","Unfurnished","South","Independent House","Buy","12295193","","","Priya Singh","+91-9765432109"
"Cozy 1BHK Apartment in Defence Colony","Delhi","Defence Colony","1","873","7","16","9","Semi-Furnished","North-West","Apartment","Rent","34022","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Builder Floor in Lajpat Nagar","Delhi","Lajpat Nagar","3","1722","7","12","15","Unfurnished","North","Builder Floor","Buy","24459287","true","","Priya Singh","+91-9765432109"
"Luxurious 5BHK Builder Floor in South Extension","Delhi","South Extension","5","2364","12","26","20","Unfurnished","East","Builder Floor","Buy","37310576","","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Villa in Lajpat Nagar","Delhi","Lajpat Nagar","2","1228","15","24","25","Unfurnished","South-West","Villa","Buy","14641107","","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Builder Floor in Pitampura","Delhi","Pitampura","4","1089","14","17","2","Unfurnished","North-West","Builder Floor","Rent","76539","","true","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Villa in Saket","Delhi","Saket","4","1225","12","22","11","Unfurnished","North","Villa","Buy","18959334","","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Villa in Shahdara","Delhi","Shahdara","2","1379","6","9","12","Semi-Furnished","South-East","Villa","Buy","14287538","","","Sunita Verma","+91-9543210987"
"Luxurious 5BHK Independent House in Vasant Kunj","Delhi","Vasant Kunj","5","2301","17","32","1","Furnished","North","Independent House","Rent","144066","","","Priya Singh","+91-9765432109"
"Spacious 2BHK Builder Floor in Paschim Vihar","Delhi","Paschim Vihar","2","1301","12","19","3","Furnished","North","Builder Floor","Rent","43373","","true","Priya Singh","+91-9765432109"
"Spacious 3BHK Builder Floor in Shahdara","Delhi","Shahdara","3","1247","10","21","12","Furnished","North-East","Builder Floor","Buy","13494506","","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Builder Floor in Preet Vihar","Delhi","Preet Vihar","4","1527","18","29","25","Furnished","West","Builder Floor","Buy","16459734","true","true","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Apartment in Rohini","Delhi","Rohini","3","1471","5","19","20","Furnished","South-West","Apartment","Buy","14608948","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Builder Floor in Lajpat Nagar","Delhi","Lajpat Nagar","3","1034","18","21","14","Unfurnished","South-West","Builder Floor","Buy","14691244","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Studio in Greater Kailash","Delhi","Greater Kailash","3","1657","20","33","8","Unfurnished","South","Studio","Buy","31494093","","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Studio in Saket","Delhi","Saket","1","645","20","26","20","Semi-Furnished","North-West","Studio","Buy","9521126","","true","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Villa in Vasant Kunj","Delhi","Vasant Kunj","4","1995","12","22","7","Unfurnished","North-East","Villa","Buy","34452753","true","","Priya Singh","+91-9765432109"
"Cozy 1BHK Villa in Mayur Vihar","Delhi","Mayur Vihar","1","876","15","29","9","Furnished","West","Villa","Buy","12099691","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Builder Floor in South Extension","Delhi","South Extension","4","1051","13","18","5","Unfurnished","West","Builder Floor","Buy","20499604","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Independent House in Mayur Vihar","Delhi","Mayur Vihar","3","1833","17","29","","Furnished","South","Independent House","Buy","27695053","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Studio in Shahdara","Delhi","Shahdara","3","992","11","24","14","Unfurnished","South-West","Studio","Buy","9178034","","","Priya Singh","+91-9765432109"
"Cozy 1BHK Apartment in Janakpuri","Delhi","Janakpuri","1","935","10","10","5","Unfurnished","East","Apartment","Buy","11019054","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Independent House in Saket","Delhi","Saket","3","957","14","26","10","Unfurnished","East","Independent House","Buy","13787584","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Apartment in Rohini","Delhi","Rohini","2","807","17","20","15","Furnished","South-West","Apartment","Buy","8329184","true","true","Amit Patel","+91-9654321098"
"Luxurious 5BHK Apartment in Paschim Vihar","Delhi","Paschim Vihar","5","1529","9","13","12","Semi-Furnished","North","Apartment","Rent","88523","true","true","Sunita Verma","+91-9543210987"
"Spacious 2BHK Studio in Janakpuri","Delhi","Janakpuri","2","872","19","25","22","Semi-Furnished","North-West","Studio","Rent","37509","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Builder Floor in Lajpat Nagar","Delhi","Lajpat Nagar","3","1475","19","25","7","Furnished","North-East","Builder Floor","Buy","24814134","","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Apartment in Rohini","Delhi","Rohini","4","1450","11","23","9","Unfurnished","West","Apartment","Buy","14807682","","true","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Villa in Shahdara","Delhi","Shahdara","2","1289","5","15","9","Unfurnished","North","Villa","Rent","32380","true","","Sunita Verma","+91-9543210987"
"Luxurious 5BHK Independent House in South Extension","Delhi","South Extension","5","1633","4","11","22","Unfurnished","South","Independent House","Buy","22453977","","true","Amit Patel","+91-9654321098"
"Luxurious 4BHK Independent House in Defence Colony","Delhi","Defence Colony","4","1627","8","15","25","Unfurnished","North","Independent House","Buy","26633913","true","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Independent House in Pitampura","Delhi","Pitampura","1","1077","16","29","8","Furnished","South","Independent House","Rent","21455","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Apartment in Shahdara","Delhi","Shahdara","2","1070","15","18","","Unfurnished","North-West","Apartment","Buy","10912107","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Builder Floor in Uttam Nagar","Delhi","Uttam Nagar","4","1322","10","10","","Semi-Furnished","North","Builder Floor","Buy","13493697","","","Amit Patel","+91-9654321098"
"Spacious 3BHK Studio in Uttam Nagar","Delhi","Uttam Nagar","3","1328","4","16","21","Unfurnished","North","Studio","Rent","46498","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Studio in Paschim Vihar","Delhi","Paschim Vihar","3","1515","19","22","5","Unfurnished","South-West","Studio","Rent","55092","","true","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Apartment in Mayur Vihar","Delhi","Mayur Vihar","4","1836","5","7","16","Semi-Furnished","South","Apartment","Rent","83669","","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Studio in South Extension","Delhi","South Extension","3","1169","15","18","11","Unfurnished","South-West","Studio","Rent","94346","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Independent House in Paschim Vihar","Delhi","Paschim Vihar","1","1089","16","31","25","Furnished","North","Independent House","Buy","9595494","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Apartment in South Extension","Delhi","South Extension","2","716","4","10","17","Semi-Furnished","South-East","Apartment","Buy","11662956","","","Amit Patel","+91-9654321098"
"Spacious 2BHK Villa in South Extension","Delhi","South Extension","2","716","8","16","11","Semi-Furnished","South","Villa","Rent","61373","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Villa in Mayur Vihar","Delhi","Mayur Vihar","3","986","19","34","3","Furnished","North-West","Villa","Buy","13674470","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Builder Floor in Rohini","Delhi","Rohini","3","1679","18","23","13","Semi-Furnished","South","Builder Floor","Buy","15759881","true","true","Amit Patel","+91-9654321098"
"Luxurious 5BHK Independent House in Vasant Kunj","Delhi","Vasant Kunj","5","1411","10","13","2","Furnished","South-West","Independent House","Buy","26790263","","","Amit Patel","+91-9654321098"
"Spacious 3BHK Apartment in Dwarka","Delhi","Dwarka","3","1084","16","22","24","Furnished","South-East","Apartment","Buy","11172281","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Apartment in South Extension","Delhi","South Extension","1","795","11","18","25","Unfurnished","South-West","Apartment","Rent","31105","true","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Studio in Preet Vihar","Delhi","Preet Vihar","4","1483","4","15","21","Furnished","North-East","Studio","Buy","16244686","","true","Priya Singh","+91-9765432109"
"Luxurious 4BHK Villa in Janakpuri","Delhi","Janakpuri","4","1016","","","21","Semi-Furnished","West","Villa","Buy","9782812","","true","Sunita Verma","+91-9543210987"
"Spacious 2BHK Builder Floor in Vasant Kunj","Delhi","Vasant Kunj","2","1492","14","27","19","Semi-Furnished","North-East","Builder Floor","Rent","53537","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Villa in Dwarka","Delhi","Dwarka","4","2047","5","12","","Unfurnished","North-West","Villa","Rent","72694","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Villa in Uttam Nagar","Delhi","Uttam Nagar","5","1248","5","14","1","Unfurnished","North","Villa","Rent","74470","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Studio in Mayur Vihar","Delhi","Mayur Vihar","2","967","1","2","1","Furnished","North-East","Studio","Buy","13842133","true","true","Amit Patel","+91-9654321098"
"Spacious 2BHK Studio in Uttam Nagar","Delhi","Uttam Nagar","2","1415","11","11","21","Semi-Furnished","South-East","Studio","Rent","31393","","","Amit Patel","+91-9654321098"
"Spacious 2BHK Villa in Rohini","Delhi","Rohini","2","1487","18","26","8","Unfurnished","North-West","Villa","Rent","36492","","","Priya Singh","+91-9765432109"
"Cozy 1BHK Villa in Lajpat Nagar","Delhi","Lajpat Nagar","1","603","17","29","19","Furnished","North-East","Villa","Buy","8700509","true","true","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Villa in Mayur Vihar","Delhi","Mayur Vihar","4","1700","","15","15","Furnished","South","Villa","Buy","20926519","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Builder Floor in Shahdara","Delhi","Shahdara","3","1721","6","10","10","Furnished","South-East","Builder Floor","Rent","59830","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Villa in Greater Kailash","Delhi","Greater Kailash","2","1482","9","14","3","Unfurnished","North-East","Villa","Buy","29584870","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Apartment in Ambattur","Chennai","Ambattur","2","1195","","","1","Semi-Furnished","South-West","Apartment","Rent","17122","","","Priya Singh","+91-9765432109"
"Luxurious 5BHK Builder Floor in Velachery","Chennai","Velachery","5","1802","12","25","6","Semi-Furnished","North-West","Builder Floor","Rent","55996","true","true","Sunita Verma","+91-9543210987"
"Spacious 2BHK Apartment in Chromepet","Chennai","Chromepet","2","1498","20","30","24","Furnished","North-West","Apartment","Rent","22290","","","Amit Patel","+91-9654321098"
"Spacious 2BHK Apartment in Vadapalani","Chennai","Vadapalani","2","1352","20","30","8","Semi-Furnished","South","Apartment","Buy","10351244","","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Apartment in Ambattur","Chennai","Ambattur","2","1486","9","24","10","Furnished","South-East","Apartment","Buy","8561950","true","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Independent House in Tambaram","Chennai","Tambaram","4","1758","6","10","5","Furnished","North-East","Independent House","Rent","45854","","true","Sunita Verma","+91-9543210987"
"Spacious 3BHK Apartment in Nungambakkam","Chennai","Nungambakkam","3","1126","9","12","23","Unfurnished","West","Apartment","Buy","8129803","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Builder Floor in Adyar","Chennai","Adyar","2","731","14","17","9","Furnished","North","Builder Floor","Buy","8795336","true","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Independent House in Nungambakkam","Chennai","Nungambakkam","1","1132","19","29","5","Semi-Furnished","North-East","Independent House","Buy","10893173","","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Studio in Porur","Chennai","Porur","2","1484","16","27","18","Unfurnished","South","Studio","Buy","8600653","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Builder Floor in T Nagar","Chennai","T Nagar","3","1239","9","16","21","Unfurnished","North-East","Builder Floor","Buy","9073630","","","Amit Patel","+91-9654321098"
"Spacious 2BHK Independent House in Anna Nagar","Chennai","Anna Nagar","2","1272","16","17","1","Furnished","South-West","Independent House","Buy","13262300","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Villa in Anna Nagar","Chennai","Anna Nagar","3","1746","","2","6","Furnished","West","Villa","Buy","17022540","true","true","Priya Singh","+91-9765432109"
"Spacious 2BHK Studio in T Nagar","Chennai","T Nagar","2","971","14","26","7","Semi-Furnished","North","Studio","Buy","8555175","true","true","Priya Singh","+91-9765432109"
"Spacious 3BHK Studio in Chromepet","Chennai","Chromepet","3","1550","7","11","3","Unfurnished","North-West","Studio","Buy","9914649","true","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Apartment in Tambaram","Chennai","Tambaram","4","1723","8","17","25","Furnished","North","Apartment","Rent","43904","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Independent House in Nungambakkam","Chennai","Nungambakkam","2","851","14","26","23","Furnished","North-East","Independent House","Rent","37121","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Villa in Vadapalani","Chennai","Vadapalani","3","1080","11","25","15","Semi-Furnished","East","Villa","Buy","7998481","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Studio in T Nagar","Chennai","T Nagar","3","1129","13","22","5","Unfurnished","North-West","Studio","Buy","10686645","","","Amit Patel","+91-9654321098"
"Spacious 3BHK Builder Floor in Guindy","Chennai","Guindy","3","1574","2","8","14","Furnished","South-East","Builder Floor","Buy","11335883","true","","Priya Singh","+91-9765432109"
"Cozy 1BHK Villa in Porur","Chennai","Porur","1","601","11","11","","Furnished","East","Villa","Buy","5600041","","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Studio in Ambattur","Chennai","Ambattur","1","909","1","11","20","Semi-Furnished","East","Studio","Rent","9664","true","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Independent House in Adyar","Chennai","Adyar","1","950","5","18","18","Semi-Furnished","West","Independent House","Rent","18274","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Independent House in T Nagar","Chennai","T Nagar","2","1209","7","12","7","Semi-Furnished","West","Independent House","Rent","30717","true","true","Amit Patel","+91-9654321098"
"Spacious 2BHK Apartment in Anna Nagar","Chennai","Anna Nagar","2","925","9","10","8","Unfurnished","South-East","Apartment","Rent","29112","","true","Priya Singh","+91-9765432109"
"Cozy 1BHK Villa in Anna Nagar","Chennai","Anna Nagar","1","880","14","17","13","Unfurnished","South-West","Villa","Buy","7197961","","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Studio in Porur","Chennai","Porur","4","1296","10","12","2","Semi-Furnished","South-East","Studio","Rent","47777","","true","Priya Singh","+91-9765432109"
"Luxurious 4BHK Builder Floor in Guindy","Chennai","Guindy","4","2114","1","10","16","Semi-Furnished","South-East","Builder Floor","Buy","14955102","","","Amit Patel","+91-9654321098"
"Spacious 3BHK Apartment in Chromepet","Chennai","Chromepet","3","1789","","13","12","Furnished","South-East","Apartment","Buy","10029386","","","Amit Patel","+91-9654321098"
"Cozy 1BHK Studio in Kodambakkam","Chennai","Kodambakkam","1","1066","2","11","24","Semi-Furnished","East","Studio","Rent","14135","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Villa in Tambaram","Chennai","Tambaram","1","801","","1","19","Furnished","North-East","Villa","Buy","4145082","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Apartment in T Nagar","Chennai","T Nagar","3","1126","19","30","9","Semi-Furnished","South-East","Apartment","Buy","10456923","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Independent House in T Nagar","Chennai","T Nagar","2","1300","4","12","8","Unfurnished","South-West","Independent House","Buy","10685431","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Builder Floor in Porur","Chennai","Porur","3","1543","15","28","12","Unfurnished","North-East","Builder Floor","Buy","9005632","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Studio in Adyar","Chennai","Adyar","3","893","15","28","1","Semi-Furnished","East","Studio","Buy","9612883","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Villa in Porur","Chennai","Porur","5","1733","12","24","10","Unfurnished","West","Villa","Buy","10866415","true","","Amit Patel","+91-9654321098"
"Luxurious 5BHK Apartment in Tambaram","Chennai","Tambaram","5","1173","14","25","5","Furnished","North-West","Apartment","Buy","7858759","","","Amit Patel","+91-9654321098"
"Spacious 3BHK Apartment in Kodambakkam","Chennai","Kodambakkam","3","1357","10","15","13","Semi-Furnished","North","Apartment","Buy","10204000","true","","Sunita Verma","+91-9543210987"
"Luxurious 5BHK Apartment in Perambur","Chennai","Perambur","5","2216","20","27","13","Unfurnished","North-West","Apartment","Buy","13477494","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Builder Floor in Mylapore","Chennai","Mylapore","3","1172","9","23","13","Furnished","North-East","Builder Floor","Rent","49782","","","Priya Singh","+91-9765432109"
"Spacious 3BHK Independent House in T Nagar","Chennai","T Nagar","3","1344","15","20","18","Unfurnished","South-West","Independent House","Buy","10746989","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Studio in Nungambakkam","Chennai","Nungambakkam","2","842","12","25","2","Furnished","South-East","Studio","Buy","9486129","true","true","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Independent House in Kodambakkam","Chennai","Kodambakkam","1","986","15","23","13","Unfurnished","South-East","Independent House","Rent","11683","","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Builder Floor in Anna Nagar","Chennai","Anna Nagar","1","1071","19","26","14","Furnished","North","Builder Floor","Buy","9032536","","true","Amit Patel","+91-9654321098"
"Spacious 2BHK Studio in Adyar","Chennai","Adyar","2","1140","10","11","20","Unfurnished","South","Studio","Rent","32098","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Villa in Velachery","Chennai","Velachery","3","1746","16","27","","Unfurnished","South-East","Villa","Buy","12440836","","true","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Studio in Tambaram","Chennai","Tambaram","3","1725","4","19","17","Furnished","South-West","Studio","Rent","34661","","","Amit Patel","+91-9654321098"
